Department,Left
Production,0
Production,0
Sales,0
Sales,0
Sales,0
Sales,0
Sales,1
Sales,1
Sales,0
Sales,1
Sales,0
Sales,1
Sales,1
Sales,1
Sales,0
IT/IS,1
IT/IS,1
Sales,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,1
Sales,1
Sales,1
Sales,0
Sales,0
IT/IS,0
Sales,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,0
Sales,1
Sales,1
Sales,1
Sales,1
Sales,0
IT/IS,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,0
Sales,0
Sales,0
Sales,0
Sales,1
Sales,1
IT/IS,0
Sales,1
Sales,1
Sales,1
Sales,1
Sales,1
Sales,0
Sales,0
Sales,0
Sales,1
Sales,0
Sales,0
Sales,0
Sales,0
Sales,0
Sales,0
Sales,0
Sales,0
Sales,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,1
Sales,1
Sales,0
Sales,0
Sales,0
Sales,0
Sales,1
Sales,1
Sales,0
Sales,0
Sales,0
Sales,1
Sales,1
Sales,1
Sales,0
Sales,1
Sales,1
Sales,0
Sales,1
Sales,1
Sales,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,1
Sales,0
Sales,1
Sales,0
Sales,1
Sales,0
Sales,0
IT/IS,0
Sales,1
Sales,0
Sales,1
Sales,0
Sales,1
Sales,1
Sales,0
Sales,1
Sales,1
Sales,0
Sales,0
Sales,1
IT/IS,0
Sales,1
Sales,0
Sales,1
Sales,1
Sales,1
Sales,0
Sales,1
Sales,0
Sales,0
Sales,1
Sales,1
Sales,0
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,1
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,0
Production       ,0
Production       ,1
Production       ,0
Production       ,0
Production       ,1
Production       ,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
Executive Office,1
Executive Office,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
Executive Office,1
Executive Office,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
Executive Office,1
Executive Office,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,1
Executive Office,1
Executive Office,1
Executive Office,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
Production       ,1
Executive Office,1
Executive Office,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
Executive Office,1
Executive Office,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
Executive Office,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,0
Executive Office,0
Executive Office,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
Executive Office,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
Executive Office,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
Software Engineering,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,0
IT/IS,0
IT/IS,1
IT/IS,1
IT/IS,1
Software Engineering,0
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,0
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,0
Software Engineering,1
Software Engineering,0
Admin Offices,1
Admin Offices,1
Admin Offices,1
Software Engineering,1
Software Engineering,1
Software Engineering,1
Software Engineering,0
Software Engineering,1
Software Engineering,1
Admin Offices,1
Admin Offices,1
Admin Offices,1
Software Engineering,1
Software Engineering,0
Software Engineering,0
Software Engineering,0
